,Ann_Return,Ann_Vol,Sharpe,CI_2013
HK0200030994,0.44851091428643075,0.7054572342703738,0.6357733573322948,6.082937136819863
HK0293001514,0.08943995293420212,0.29818917615856916,0.29994366021736585,1242.2434126275682
HK0388045442,0.315512505202863,0.43739651947030944,0.7213420572823741,0.1408248939564268
HK0823032773,0.21022698813083784,0.22906804492456684,0.9177490828110335,0.0
IE00BKVD2N49,0.3125756277396182,0.5334430721695147,0.5859587349562384,19.47856967915748
JP3027680002,0.13590264399937493,0.22751924775176566,0.5973237224643569,12.176057972460011
JP3112000009,0.056260134905121356,0.32056933303440976,0.17550067678832654,410.1454895786856
JP3118000003,0.28887368344698017,0.3626742048529668,0.7965101448670538,2.208737855157513
JP3119600009,0.06416576161391624,0.2360971072374906,0.27177699195344973,105.22537042051734
JP3122400009,-0.05638542480508065,0.45638791045527966,-0.12354714818986363,1.912035319985424
JP3126400005,0.10064840664029517,0.4722384361287856,0.21313048439125154,1.5597738551373352
JP3134800006,0.1869590839986917,0.4146697738748096,0.4508625797624097,5.598366055881602
JP3148800000,0.11587461676500199,0.4049153786039852,0.28616995769461634,57.15276242538739
JP3164800009,0.19777907837784614,0.41407205295287763,0.4776441128238951,7.947415022007363
JP3165600002,0.12066362914859122,0.3956615251818348,0.3049667998250213,17.857831272218597
JP3165700000,-0.04825699212389613,0.3725427276754407,-0.1295341139122641,0.4293125947320357
JP3190000004,0.0941141214465163,0.3566852884974546,0.2638575923413447,9.869974878421518
JP3194000000,0.030490722565874612,0.44650748413773667,0.06828714780616973,2.476496236045957
JP3197600004,0.13624771050752515,0.23135895210882834,0.5889018309671282,13.825063885174243
JP3197800000,0.09962518735348042,0.292154029333238,0.34100227055176263,5.442293018674887
JP3200450009,0.10357532460289773,0.4453637299083488,0.2325634479130405,33.4321429456323
JP3201200007,0.12736508857710624,0.3380063669638994,0.3768126906044625,2.8671563098552943
JP3205800000,0.04856625029413221,0.2134424808424643,0.22753788328564992,43.14549449572554
JP3209000003,0.1187246165064025,0.3791257262863826,0.31315368036175084,0.857362967407831
JP3210200006,0.09645525388820969,0.3529012644294301,0.27332079425716516,10.017662588238911
JP3223800008,0.13653874226567975,0.4044747050029525,0.33757053426785505,1097.9158314851934
