NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
TELSTRA GROUP,AU000000TLS2,,,,,,,1022364.0,1031576.0,1081336.0,1215540.0,1198003.0,1400690.0,1359125.0,1374617.0,1331148.0,1294248.0,1298083.0,1288761.0,1253460.0,1209274.0,1259292.0,1210145.0,1130584.0,1092011.0,879870.0,784439.0,
WESTPAC BANKING,AU000000WBC1,,,,,,,,,,116658.0,190728.0,190592.0,179662.0,176648.0,175463.0,168373.0,164976.0,145599.0,124963.0,118515.0,111908.0,100040.0,89580.0,76378.0,60481.0,51378.0,45360.0
WESFARMERS,AU000000WES1,,,,,,,,,,,2696000.0,,3090631.0,2790505.0,,,,,,,,,,,501397.0,489633.0,472946.0
WORLEY,AU000000WOR2,,,,,,,,,,,,,63066.0,56959.0,,,,43489.0,38251.0,36674.0,49301.0,77313.0,35524.0,32251.0,33462.0,33460.0,33233.0
WOOLWORTHS GROUP,AU000000WOW2,,,,,,,,2406260.0,,2432728.0,2486175.0,2515808.0,2531027.0,2499051.0,2562162.0,2494957.0,2503023.0,2459533.0,2294885.0,2241013.0,2091681.0,1963123.0,1910632.0,1659874.0,1502550.0,1378004.0,1243595.0
A2B AUSTRALIA DEAD - DELIST.12/04/24,AU0000032187,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,,,,,,,,,,,,,,,
HEALIUS,AU0000033359,,,,,,,,,,,,,,,,,,,,,,,25881.0,25211.0,24414.0,32829.0,
OVATO DEAD - DELIST.29/08/22,AU0000038911,,,,,,,,,,,,95000.0,97000.0,91000.0,82000.0,,,,,,,,,,,,
AMPOL,AU0000088338,,,,,,,400000.0,,,326605.0,326605.0,312073.0,315115.0,303099.0,288640.0,269848.0,197970.0,178273.0,183784.0,210821.0,230539.0,222097.0,231720.0,243247.0,221430.0,217452.0,
WOODSIDE ENERGY GROUP,AU0000224040,,,,,,,,,,,40732.0,22282.0,8184.0,8000.0,8000.0,8000.0,7000.0,14000.0,8000.0,8000.0,7000.0,10000.0,8000.0,8000.0,10000.0,8000.0,
CHINESE ESTATES HDG.,BMG2108M2182,,,,,,,,,,,,,,,,,,,32479.0,27986.8,28070.0,22148.29,18894.69,18107.0,17974.0,18348.0,
CKI HOLDINGS,BMG2178K1009,,,,,,,,,,,,,,,,,,,2314222.0,1920266.0,1826945.0,1664169.0,1524132.0,1259587.0,1172147.0,1244603.0,
COSCO SHIPPING PORTS,BMG2442N1048,,,,,,,,,,,,,,,39438.0,67232.0,83937.0,578080.0,111103.0,119519.0,163958.0,126154.0,124317.0,150661.0,148492.0,127026.0,
DFI RETAIL GROUP HOLDINGS,BMG2624N1535,,,,,,,,,,,,,,,,,,,,,,,361000.0,335000.0,341000.0,328000.0,
HOPSON DEVELOPMENT HOLDINGS,BMG4600H1198,,,,,,,,,,,,,,,,,,,99191.38,83891.0,75216.0,74755.0,56007.0,52769.0,55899.0,53431.0,
HUABAO INTL.HDG.,BMG4639H1227,,,,,,,,,,,,,,,,,,,,32818.4,33219.3,19086.9,24223.0,42011.0,35650.0,43123.0,
JARDINE MATHESON HDG.,BMG507361001,,,,,,,,,,,,,,,,,,,,,,,1331500.0,1460400.0,1343000.0,1345700.0,
KERRY PROPERTIES,BMG524401079,,,,,,,,,,,,,47262.0,49274.0,53626.0,50815.0,101351.0,100261.0,74748.0,90361.0,100196.0,104541.0,98546.0,81461.0,87547.0,91753.0,
KUNLUN ENERGY,BMG5320C1082,,,,,,,,,,,,,,,,,,,,,,1025009.0,987566.0,1096106.0,1094381.0,1104390.0,
CTF SERVICES,BMG668971101,,,,,,,,,,,,,,,,81737.2,67363.3,87066.0,,,,51214.0,34335.0,41575.0,51447.0,58568.0,62037.0
ORIENT OVERSEAS (INTL.),BMG677491539,,,,,,,,,,,,,30130.0,33940.0,33700.0,39110.0,29360.0,34850.0,35320.0,16290.0,18380.0,11660.0,11890.0,15020.0,20800.0,17840.0,
PACIFIC BASIN SHIP.,BMG684371393,,,,,,,,,,,,,,,,,,659.0,940.0,658.0,378.0,382.0,371.0,343.0,346.0,351.0,
SHANGRI-LA ASIA,BMG8063F1068,,,,,,,,,,,677277.7,728159.6,,770253.0,,,,,,,,,,642000.0,719000.0,692000.0,
SINOFERT HOLDINGS,BMG8403G1033,,,,,,,,,,,,,,,,,,,,,337926.0,194779.0,196698.0,241609.0,267231.0,256763.17,
YUE YUEN INDL.HDG.,BMG988031446,,,,,,,,,,,,,,,,,598650.0,646800.0,603784.0,737400.0,567000.0,536000.0,449000.0,701000.0,617000.0,633000.0,
CHINA UNICOM (HONG KONG),HK0000049939,,,,,,,,,,,,,,,,,,,,12760000.0,12810000.0,14000000.0,12440000.0,13220000.0,13150000.0,12890000.0,
